S_no,Gender,Degree,Specialization,CGPA,marks_12,Company_Placed,Package,Speaking,Extra_Curricular,Internship_Experience,Python,Java,C,CPP,DBMS,OOPS,Data_Structures,SQL,Operating_Systems,Data_Communication_and_Computer_Networks,Machine_Learning,Deep_Learning,Mobile_App_Development,Web_App_Development
88,Female,B.E/B.Tech,CSE,7.1,96.7,Care Allianz,11,6,5,Yes,6,6,6,6,6,6,5,6,6,4,6,5,6,4
89,Male,B.E/B.Tech,CSE,7.89,97,Advance Auto Parts,9,7,6,No,7,3,8,3,5,6,7,4,6,5,5,5,5,5
90,Male,B.E/B.Tech,CSE,7.99,96.7,Advance Auto Parts,9,6,5,No,8,6,6,5,4,3,7,8,6,5,9,8,5,7
91,Male,B.E/B.Tech,CSE,8.45,98.3,Care Allianz,11,7,7,Yes,8,5,5,6,7,5,3,9,9,5,7,7,7,7
92,Female,B.E/B.Tech,CSE,8.56,97.2,Care Allianz,11,9,9,No,9,8,5,6,8,8,8,6,4,3,5,6,4,7
93,Male,B.E/B.Tech,CSE,8.55,98.6,Advance Auto Parts,9,8,8,No,8,6,7,5,8,8,5,6,7,4,6,5,7,5
94,Female,B.E/B.Tech,CSE,8.45,97.8,Care Allianz,11,9,5,Yes,7,4,7,4,7,6,5,6,7,3,5,6,7,2
95,Male,B.E/B.Tech,CSE,8.65,97.6,Advance Auto Parts,9,10,9,Yes,8,9,8,6,6,6,6,8,7,5,5,6,5,6
96,Female,B.E/B.Tech,CSE,8.25,98.8,Advance Auto Parts,9,9,6,No,7,5,6,5,5,4,6,7,5,4,9,7,9,7
97,Male,B.E/B.Tech,CSE,8.22,97.2,Care Allianz,11,8,7,No,6,4,7,5,5,4,5,6,6,4,6,5,6,6
98,Female,B.E/B.Tech,CSE,7.8,82.6,Care Allianz,11,7,7,Yes,5,3,6,5,7,8,7,6,6,3,7,2,7,5
99,Male,B.E/B.Tech,CSE,7.65,79.4,Advance Auto Parts,9,6,5,Yes,7,5,7,6,8,4,6,5,7,7,8,3,9,5
100,Female,B.E/B.Tech,CSE,98,85.2,Care Allianz,11,8,6,No,8,5,7,5,8,5,8,8,6,6,9,7,5,9
101,Male,B.E/B.Tech,CSE,9.23,92.35,Oracle (GBU),16.6,7,6,Yes,8,8,6,7,7,8,8,8,8,7,6,9,7,6
102,Female,B.E/B.Tech,CSE,8.19,91.65,Infosys (SE),4,6,0,No,5,2,3,2,4,4,1,3,3,6,4,1,5,4
103,Male,B.E/B.Tech,CSE,8.34,87.35,Infosys (DSE),5,3,4,No,5,5,5,5,4,5,2,6,1,2,3,1,7,5
104,Male,B.E/B.Tech,CSE,9.06,93.02,Barclays,12.75,8,3,Yes,9,10,7,9,6,8,6,7,10,8,8,5,6,5
105,Female,B.E/B.Tech,CSE,8.78,96.18,Micron (EPS),9.1,10,5,Yes,6,5,5,4,7,6,5,9,10,4,6,5,8,7
106,Female,B.E/B.Tech,CSE,8.05,90.62,HD Works,12,5,4,Yes,10,9,7,4,9,6,7,6,5,4,8,5,5,10
107,Female,B.E/B.Tech,CSE,7.66,95.6,Keka,7,9,2,No,6,3,5,4,7,3,6,6,7,5,6,6,5,6
108,Male,B.E/B.Tech,CSE,8.48,92.99,Micron (EPS),9.1,8,10,No,7,6,8,5,7,8,7,6,5,5,8,6,5,5
109,Male,B.E/B.Tech,CSE,7.97,96.02,Capgemini (Sr.Analyst),7.5,6,0,Yes,7,6,7,6,5,4,5,6,7,4,5,4,4,3
110,Female,B.E/B.Tech,CSE,8.82,88.04,Advance Auto Parts,9,2,3,Yes,6,8,7,5,5,5,7,5,7,4,5,4,6,7
111,Male,B.E/B.Tech,CSE,8.97,88.56,Oracle (FSGBU),16.6,9,5,No,8,9,7,10,9,7,7,7,6,6,6,2,8,7
112,Male,B.E/B.Tech,CSE,9.06,86.4,Infosys (SE),4,1,3,No,4,1,4,0,4,3,4,3,3,3,1,1,5,3
